idLectura,fecha,PM2_5,temperatura,humedad,luz,CO2,presion,idDispositivo
1,"2025-10-24 02:17:45.451182",19,23.60,75.80,0,444,848.10,1
2,"2025-10-24 02:18:15.226150",19,23.50,75.60,0,446,848.10,1
3,"2025-10-24 02:18:45.312482",19,23.50,75.70,0,452,848.20,1
4,"2025-10-24 02:19:16.162191",20,23.50,75.70,0,448,848.20,1
5,"2025-10-24 02:19:46.071192",19,23.50,75.70,0,447,848.10,1
6,"2025-10-24 02:20:15.273143",19,23.60,75.90,0,440,848.10,1
7,"2025-10-24 02:20:45.050586",18,23.50,75.60,0,433,848.20,1
8,"2025-10-24 02:21:15.807470",20,23.60,75.70,0,442,848.10,1
9,"2025-10-24 02:21:45.778651",20,23.50,75.80,0,444,848.10,1
10,"2025-10-24 02:22:15.238898",19,23.60,75.70,0,443,848.10,1
11,"2025-10-24 02:22:45.307216",19,23.50,75.60,0,435,848.00,1
12,"2025-10-24 02:23:15.918924",19,23.50,75.60,0,437,848.00,1
13,"2025-10-24 02:23:46.187848",20,23.50,75.80,0,434,848.10,1
14,"2025-10-24 02:24:15.919340",19,23.50,75.80,0,432,848.00,1
15,"2025-10-24 02:24:45.919944",20,23.50,75.70,0,436,848.10,1
16,"2025-10-24 02:25:15.860675",20,23.50,75.70,0,431,848.10,1
17,"2025-10-24 02:25:45.914368",19,23.50,75.60,0,440,848.10,1
18,"2025-10-24 02:26:15.906839",19,23.50,75.80,0,443,848.10,1
19,"2025-10-24 02:26:45.495636",20,23.50,75.70,0,439,848.10,1
20,"2025-10-24 02:27:15.862492",19,23.50,75.80,0,438,848.00,1
21,"2025-10-24 02:27:45.236673",19,23.50,75.80,0,435,848.10,1
22,"2025-10-24 02:28:15.902196",20,23.50,75.70,0,446,848.00,1
23,"2025-10-24 02:28:45.927572",18,23.50,75.80,0,455,848.10,1
24,"2025-10-24 02:29:15.919011",20,23.50,75.80,0,458,848.00,1
25,"2025-10-24 02:29:45.227247",19,23.50,75.90,0,457,848.10,1
26,"2025-10-24 02:30:14.812054",18,23.50,75.90,0,449,848.00,1
27,"2025-10-24 02:30:45.217062",19,23.50,75.60,0,447,848.10,1
28,"2025-10-24 02:31:16.075106",21,23.50,75.60,0,444,848.10,1
29,"2025-10-24 02:31:45.546665",19,23.50,75.70,0,450,848.10,1
30,"2025-10-24 02:32:15.258152",18,23.50,75.70,0,440,848.00,1
31,"2025-10-24 02:32:45.828286",20,23.50,75.70,0,430,848.10,1
32,"2025-10-24 02:33:14.810269",20,23.50,75.90,0,431,848.10,1
33,"2025-10-24 02:33:45.203238",20,23.50,75.60,0,424,848.10,1
34,"2025-10-24 02:34:16.080496",18,23.50,75.80,0,432,848.10,1
35,"2025-10-24 02:34:45.915600",17,23.50,75.80,0,437,848.10,1
36,"2025-10-24 02:35:15.332632",20,23.50,75.80,0,445,848.00,1
37,"2025-10-24 02:35:45.310295",19,23.50,75.70,0,453,848.00,1
38,"2025-10-24 02:36:15.911935",19,23.50,75.60,0,452,848.00,1
39,"2025-10-24 02:36:45.832370",19,23.50,75.70,0,449,848.10,1
40,"2025-10-24 02:37:15.830882",20,23.50,75.60,0,445,848.00,1
41,"2025-10-24 02:37:45.913889",19,23.50,75.70,0,446,848.00,1
42,"2025-10-24 02:38:15.207678",20,23.50,75.70,0,445,848.00,1
43,"2025-10-24 02:38:45.301570",20,23.50,75.70,0,447,848.10,1
44,"2025-10-24 02:39:15.849728",20,23.50,75.70,0,435,848.00,1
45,"2025-10-24 02:39:45.771758",20,23.50,75.70,0,438,848.00,1
46,"2025-10-24 02:40:15.913956",18,23.50,75.70,0,431,848.00,1
47,"2025-10-24 02:40:45.917197",19,23.50,75.60,0,430,848.00,1
48,"2025-10-24 02:41:15.851709",20,23.50,75.60,0,430,848.00,1
49,"2025-10-24 02:41:45.920182",20,23.50,75.70,0,427,848.00,1
50,"2025-10-24 02:42:15.923414",19,23.50,75.70,0,425,848.00,1
51,"2025-10-24 02:42:45.919425",18,23.50,75.70,0,430,848.00,1
52,"2025-10-24 02:43:15.911776",18,23.50,75.70,0,437,848.00,1
53,"2025-10-24 02:43:46.078789",18,23.50,75.50,0,441,847.90,1
54,"2025-10-24 02:44:15.275610",18,23.50,75.70,0,442,848.00,1
55,"2025-10-24 02:44:46.177244",20,23.50,75.80,0,438,848.00,1
56,"2025-10-24 02:45:16.181558",19,23.50,75.70,0,435,848.00,1
57,"2025-10-24 02:45:45.910394",21,23.50,75.60,0,431,847.90,1
58,"2025-10-24 02:46:15.804558",19,23.50,75.60,0,432,848.00,1
59,"2025-10-24 02:46:45.920163",19,23.50,75.60,0,430,848.00,1
60,"2025-10-24 02:47:15.299244",19,23.50,75.50,0,436,847.90,1
61,"2025-10-24 02:47:45.197153",18,23.50,75.60,0,431,847.90,1
62,"2025-10-24 02:48:14.804223",20,23.50,75.70,0,433,848.00,1
63,"2025-10-24 02:48:45.811273",19,23.50,75.70,0,431,848.00,1
64,"2025-10-24 02:49:15.906692",18,23.50,75.70,0,439,848.00,1
65,"2025-10-24 02:49:45.193765",19,23.50,75.70,0,448,848.00,1
66,"2025-10-24 02:50:15.912883",20,23.50,75.70,0,450,847.90,1
67,"2025-10-24 02:50:45.846320",20,23.50,75.80,0,441,848.00,1
68,"2025-10-24 02:51:15.831537",21,23.50,75.70,0,433,848.00,1
69,"2025-10-24 02:51:45.232230",19,23.50,75.50,0,432,848.00,1
70,"2025-10-24 02:52:15.198231",19,23.50,75.60,0,433,848.00,1
71,"2025-10-24 02:52:45.913593",18,23.50,75.70,0,433,848.00,1
72,"2025-10-24 02:53:15.264396",21,23.50,75.70,0,441,847.90,1
73,"2025-10-24 02:53:46.186335",20,23.50,75.70,0,443,847.90,1
74,"2025-10-24 02:54:15.907221",20,23.50,75.70,0,451,848.00,1
75,"2025-10-24 02:54:45.910100",18,23.50,75.70,0,449,848.00,1
76,"2025-10-24 10:04:14.417469",23,23.70,73.00,200,417,849.10,1
77,"2025-10-24 10:04:44.840749",23,23.70,73.20,200,419,849.00,1
78,"2025-10-24 10:05:14.398334",24,23.70,73.30,200,417,849.10,1
79,"2025-10-24 10:05:45.079177",23,23.70,73.00,210,418,849.10,1
80,"2025-10-24 10:06:14.889695",24,23.70,72.90,210,415,849.10,1
81,"2025-10-24 10:06:45.076087",25,23.70,73.00,210,420,849.10,1
82,"2025-10-24 10:07:15.067998",24,23.70,73.00,200,424,849.00,1
83,"2025-10-24 10:07:44.394563",25,23.70,73.10,210,422,849.10,1
84,"2025-10-24 10:08:15.073871",24,23.70,73.00,210,421,849.10,1
85,"2025-10-24 10:08:45.073617",25,23.70,73.20,190,421,849.10,1
86,"2025-10-24 10:09:14.886966",25,23.70,73.30,200,422,849.10,1
87,"2025-10-24 10:09:45.069091",27,23.70,72.80,200,427,849.10,1
88,"2025-10-24 10:10:15.082236",26,23.70,72.80,200,430,849.10,1
89,"2025-10-24 10:10:45.068229",23,23.70,73.00,200,426,849.10,1
90,"2025-10-24 10:11:14.841921",26,23.70,72.70,200,426,849.10,1
91,"2025-10-24 10:11:45.062203",26,23.70,72.80,200,427,849.10,1
92,"2025-10-24 10:12:15.069487",25,23.70,73.00,200,434,849.10,1
93,"2025-10-24 10:12:44.372474",26,23.70,72.80,200,434,849.10,1
94,"2025-10-24 10:13:15.066571",23,23.70,72.90,200,431,849.10,1
95,"2025-10-24 10:13:44.947995",25,23.70,72.90,200,422,849.00,1
96,"2025-10-24 10:14:15.073516",24,23.80,72.90,200,414,849.00,1
97,"2025-10-24 10:14:45.080690",24,23.70,72.70,200,420,849.00,1
98,"2025-10-24 10:15:15.305896",23,23.70,72.80,200,431,849.10,1
99,"2025-10-24 10:15:45.089582",26,23.70,72.70,200,435,849.20,1
100,"2025-10-24 10:16:14.338874",24,23.70,72.90,210,437,849.00,1
101,"2025-10-24 10:16:44.508325",25,23.70,72.70,230,433,849.10,1
102,"2025-10-24 10:17:15.072366",22,23.80,72.70,230,435,849.00,1
103,"2025-10-24 10:17:45.079529",23,23.80,72.70,230,447,849.10,1
104,"2025-10-24 10:18:14.848670",24,23.70,72.80,230,446,849.10,1
105,"2025-10-24 10:18:44.977905",23,23.70,73.00,230,441,849.10,1
106,"2025-10-24 10:19:15.084962",22,23.80,72.80,230,443,849.00,1
107,"2025-10-24 10:19:44.920858",24,23.80,72.80,210,444,849.10,1
108,"2025-10-24 10:20:15.077145",23,23.80,72.80,230,442,849.00,1
109,"2025-10-24 10:20:45.086548",25,23.80,73.00,230,443,849.00,1
110,"2025-10-24 10:21:14.371750",25,23.80,72.70,230,439,849.00,1
111,"2025-10-24 10:21:44.975406",25,23.70,72.70,230,447,849.00,1
112,"2025-10-24 10:22:15.070666",23,23.80,72.50,230,452,849.00,1
113,"2025-10-24 10:22:44.727575",25,23.80,72.70,230,451,849.00,1
114,"2025-10-24 10:23:14.427433",25,23.80,72.50,230,451,849.00,1
115,"2025-10-24 10:23:44.829389",23,23.80,72.50,210,456,849.00,1
116,"2025-10-24 10:24:15.065172",24,23.80,72.50,210,463,849.00,1
117,"2025-10-24 10:24:44.450661",24,23.80,72.40,210,465,849.00,1
118,"2025-10-24 10:25:14.979299",27,23.80,72.50,210,462,849.00,1
119,"2025-10-24 10:25:44.431946",25,23.80,72.50,210,457,848.90,1
120,"2025-10-24 10:26:13.833606",23,23.80,72.50,210,449,848.90,1
121,"2025-10-24 10:26:44.977054",24,23.80,72.50,210,455,848.90,1
122,"2025-10-24 10:27:15.063482",24,23.70,72.40,210,455,848.80,1
123,"2025-10-24 10:27:45.067508",24,23.80,72.50,210,459,848.90,1
124,"2025-10-24 10:28:14.681704",25,23.80,72.50,230,463,848.80,1
125,"2025-10-24 10:28:45.058197",25,23.80,72.40,210,467,848.90,1
126,"2025-10-24 10:29:15.068607",25,23.80,72.50,210,476,848.90,1
127,"2025-10-24 10:29:45.081047",23,23.80,72.60,210,481,848.80,1
128,"2025-10-24 10:30:15.064550",24,23.80,72.30,210,480,848.80,1
129,"2025-10-24 10:30:45.057468",24,23.70,72.30,210,484,848.90,1
130,"2025-10-24 10:31:14.393373",24,23.80,72.50,210,477,848.80,1
131,"2025-10-24 10:31:45.067332",21,23.80,72.50,210,472,848.90,1
132,"2025-10-24 10:32:14.732815",24,23.80,72.60,210,472,848.90,1
133,"2025-10-24 10:32:44.354925",24,23.80,72.50,210,471,848.80,1
134,"2025-10-24 10:33:15.057741",22,23.80,72.50,210,482,848.90,1
135,"2025-10-24 10:33:45.064516",24,23.80,72.30,230,474,848.70,1
136,"2025-10-24 10:34:14.915442",24,23.80,72.40,230,482,848.90,1
137,"2025-10-24 10:34:45.071442",25,23.80,72.40,240,478,848.80,1
138,"2025-10-24 10:35:15.060789",23,23.90,72.40,230,479,848.80,1
139,"2025-10-24 10:35:44.969196",23,23.80,72.40,230,475,848.70,1
140,"2025-10-24 10:36:15.066708",25,23.80,72.30,230,479,848.80,1
141,"2025-10-24 10:36:44.427790",23,23.90,72.40,230,480,848.70,1
142,"2025-10-24 10:37:15.071498",23,23.80,72.20,240,478,848.80,1
143,"2025-10-24 10:37:44.910071",23,23.80,72.30,230,480,848.70,1
144,"2025-10-24 10:38:14.371141",23,23.80,72.40,230,480,848.80,1
145,"2025-10-24 10:38:44.651974",24,23.80,72.30,230,487,848.70,1
